"global_step","algo: CAPQL - _step","algo: CAPQL - _step__MIN","algo: CAPQL - _step__MAX","algo: CAPQL - eval/eum","algo: CAPQL - eval/eum__MIN","algo: CAPQL - eval/eum__MAX"
"3500000","35060","35060","35060","271.77830841996655","93.90614965617695","402.00045437195456"
"3550000","35561","35561","35561","270.29076218751237","93.62037960563347","400.37380523249084"
"3600000","36062","36062","36062","271.65228728049317","90.7970112160385","407.93370003926736"
"3650000","36563","36563","36563","275.0700246370628","92.24916898453523","417.234522940081"
"3700000","37064","37064","37064","272.1206884962208","93.1286194274907","405.48070728723496"
"3750000","37565","37565","37565","276.52343017349375","92.37792883177217","415.3150816006452"
"3800000","38066","38066","38066","272.27470120610195","94.17836966199218","409.46939393544125"
"3850000","38567","38567","38567","273.7666686609628","93.29053253995087","414.6674307313678"
"3900000","39068","39068","39068","269.88322983205796","92.8409711206788","408.39763235237564"
"3950000","39569","39569","39569","271.973761246326","92.19030041566714","414.143350740918"
"4000000","40070","40070","40070","273.7444387982353","93.311119546185","418.28060016399667"
"4050000","40571","40571","40571","274.85250716517004","93.45112591028044","417.355976578442"
"4100000","41072","41072","41072","277.7512778438641","93.98610358952855","416.2489907683129"
"4150000","41573","41573","41573","272.9861169788888","93.62693628185505","402.01365251721785"
"4200000","42074","42074","42074","275.9926116895631","92.58570750834265","417.0255679637178"
"4250000","42575","42575","42575","276.52186303434513","93.58577298328854","409.2409380307859"
"4300000","43076","43076","43076","278.99945066219794","94.32563294476259","413.7211724672847"
"4350000","43577","43577","43577","276.8369873169648","94.75652386676813","409.80320651446755"
"4400000","44078","44078","44078","278.21711986977783","93.3331248572145","414.66703762666447"
"4450000","44579","44579","44579","280.85884426192575","95.54813663558706","417.8690782103002"
"4500000","45080","45080","45080","278.14026665006935","95.94455322583944","412.2397514495242"
"4550000","45581","45581","45581","278.65041560846225","95.72769378738542","407.56064905204215"
"4600000","46082","46082","46082","278.59519313625606","95.8095953085044","413.01749392284205"
"4650000","46583","46583","46583","279.6335009950754","95.15688107873035","416.319005753555"
"4700000","47084","47084","47084","282.8878728062571","96.36110986932891","416.5265503943219"
"4750000","47585","47585","47585","278.6755885503943","97.06848308790393","413.60306428260765"
"4800000","48086","48086","48086","279.80869817189136","95.72153657297412","411.8407289134277"
"4850000","48587","48587","48587","283.88281305534196","96.3720417676691","422.5780348427988"
"4900000","49088","49088","49088","284.70997849510815","94.87749778949222","418.53800124853575"
"4950000","49589","49589","49589","285.09437446693187","96.79909549280619","426.3573488817788"
"5000000","50090","50090","50090","285.6578627255596","96.72889852205171","420.8172799556169"
