"Step","algo: CAPQL - eval/hypervolume","algo: CAPQL - eval/hypervolume__MIN","algo: CAPQL - eval/hypervolume__MAX","algo: PGMORL - eval/hypervolume","algo: PGMORL - eval/hypervolume__MIN","algo: PGMORL - eval/hypervolume__MAX"
"18","","","","13817.825658672022","13262.781071240512","14289.526802485852"
"91","50315.17164450386","35841.206558281636","71357.43888195984","","",""
"192","48004.8856920687","39058.06626096599","53492.02378817144","","",""
"293","61389.733436772185","44520.26102573294","69859.69927213021","","",""
"394","56020.56303115552","46535.31894597558","67129.11433100898","","",""
"495","68899.36391282239","49432.66134224085","88077.47750905264","","",""
"596","66121.8788707445","48766.30272330144","88769.7253386162","","",""
"697","70912.47664370433","48504.295577597004","85787.37362492154","","",""
"798","73651.36169721883","47487.87221935116","91343.5683315233","","",""
"899","82035.06044023336","57014.25106077906","97199.36883284853","","",""
"1000","81865.4532065853","58378.073714356426","102267.13430983809","","",""
"1101","81166.56787578293","57495.83430972708","104532.99840057964","","",""
"1202","79190.95336074317","57844.854077973105","99406.61467994486","","",""
"1303","87359.46288967265","70935.24935578389","102343.26509208983","","",""
"1404","82056.22303666126","59655.986103027346","103980.64459193569","","",""
"1505","84394.29058620744","67126.23504687034","96187.85962620954","","",""
"1606","85852.50058868283","59830.36236265755","107695.34653973226","","",""
"1707","83677.18272825296","60760.85192164921","111263.67509110708","","",""
"1808","80137.67721615509","60522.08637077265","100640.68530242288","","",""
"1909","80912.38950764458","62669.9032200229","99446.41562659071","","",""
"2010","77700.1766653714","61126.1759783355","95854.47146641675","","",""
"2111","78090.07004913803","63885.535218056335","94237.70270216686","","",""
"2212","80933.58901044425","65853.77060222384","98403.11195592611","","",""
"2313","80319.22166892087","66562.18753543122","100150.90010596512","","",""
"2414","82146.57865779783","65918.24624635566","104365.40073030212","","",""
"2515","80081.10831739743","64203.15689613733","100451.09881528042","","",""
"2616","80537.32900447893","65948.89067091826","98943.27623638423","","",""
"2717","81548.58744789024","62729.26654026225","102144.88850479476","","",""
"2818","85177.1356356741","73329.85727720919","103031.32665536343","","",""
"2919","88734.83669464558","68154.97985838112","105393.1361114856","","",""
"3020","83410.03342618914","61694.93389811104","100877.78297109714","","",""
"3121","84497.47666618117","61163.43548555125","102048.72447314834","","",""
"3222","84883.32024714642","63587.6092694082","104385.33889826323","","",""
"3323","86810.39199797407","68202.72700972155","103032.28411728857","","",""
"3424","88015.64511057486","68319.50673871256","104394.01416869674","","",""
"3525","86150.18131343513","65727.98895006877","102230.70680450098","","",""
"3626","87507.14687264901","68351.6559923453","102070.31264726109","","",""
"3727","87069.14509080646","65021.03179112702","105443.40920612586","","",""
"3828","87996.89524916942","70854.51807458249","103702.8373318812","","",""
"3929","85209.22761488793","62777.59520890099","102022.92088837623","","",""
"4030","87188.66187936382","69542.88112637533","106137.8297338371","","",""
"4131","88396.07586547645","69827.95348110044","104476.6280700932","","",""
"4232","89031.81529906187","66860.7203720932","103138.20110795784","","",""
"4333","87399.2583992477","64941.92477868354","108030.02870119136","","",""
"4434","90215.34566427606","65833.91194688233","107794.73685244881","","",""
"4535","88286.35298844446","65069.225997135894","105951.33080264235","","",""
"4636","89421.3443572948","65141.28263303779","108356.61162924716","","",""
"4737","85253.38709788809","58660.45354911368","106526.47925103286","","",""
"4838","91943.37275227583","73488.07135114935","108657.85990730656","","",""
"4939","89925.40618553327","69406.8931683727","107429.94878836583","","",""
"5040","90026.78896734059","70667.51379938515","107304.17022654011","","",""
"5141","93167.92410305089","70358.22289041604","109659.9460183311","","",""
"5242","86635.896291076","64398.81763910679","108434.12032223179","","",""
"5343","88756.6626406916","66110.62064440554","107770.20750672254","","",""
"5444","88256.14175815125","64801.259202043846","110462.81266987787","","",""
"5545","88505.98933727013","63066.870350438796","106411.04660968305","","",""
"5646","91730.3246762815","71083.8147779432","109370.05472702874","","",""
"5747","89407.65202902044","68363.20938313613","107496.31166224557","","",""
"5848","87653.4694396148","64207.84962622935","107333.26018313774","","",""
"5949","88974.84237783901","67025.81710725755","106997.79191647006","","",""
"6050","86065.75670643445","61992.33918825692","105735.01469283013","","",""
"6151","89462.58519442119","66195.94365314196","107818.067955789","","",""
"6252","88928.41297386803","59907.426795235646","105121.292116353","","",""
"6353","89540.75613570241","67414.84931927531","103019.51147209521","","",""
