"global_step","algo: CAPQL - _step","algo: CAPQL - _step__MIN","algo: CAPQL - _step__MAX","algo: CAPQL - eval/eum","algo: CAPQL - eval/eum__MIN","algo: CAPQL - eval/eum__MAX"
"10000","91","91","91","121.90943818437488","86.92513879079237","162.275666129141"
"20000","192","192","192","114.38115853405515","95.15199137065507","125.74053415780645"
"30000","293","293","293","141.75798966907456","108.23866616013454","160.18562123277923"
"40000","394","394","394","133.6347790409598","111.50299688609022","155.41219338390897"
"50000","495","495","495","154.709427520284","118.14553246970407","185.76721750708785"
"60000","596","596","596","147.11188321355496","113.7043402777516","189.19545082155364"
"70000","697","697","697","158.33505097125422","115.85337496699846","184.62169044079448"
"80000","798","798","798","163.53197345493294","115.26065072382107","194.80074779923612"
"90000","899","899","899","176.26667867186333","132.66240619924054","202.190305316778"
"100000","1000","1000","1000","176.92587705331778","135.8737499792097","208.72457403002267"
"110000","1101","1101","1101","175.1652596283975","132.17430170390944","212.3552145472232"
"120000","1202","1202","1202","174.19079982898504","133.9499540935527","205.57590708449527"
"130000","1303","1303","1303","185.73330472396688","154.49345006908732","211.08089899864342"
"140000","1404","1404","1404","178.69418524232466","137.41908202730724","212.99068887172078"
"150000","1505","1505","1505","182.4718484465815","150.34442413156333","206.19364573322284"
"160000","1606","1606","1606","182.7488981633959","137.12725239291612","216.32606273951728"
"170000","1707","1707","1707","179.49370088772613","139.14950845961005","222.92930785633962"
"180000","1808","1808","1808","175.44416357076832","139.90357446493476","211.39931572540993"
"190000","1909","1909","1909","179.21182438633915","142.2726006804418","215.42207140133283"
"200000","2010","2010","2010","173.99573608951053","140.15551638764063","207.03147214517074"
"210000","2111","2111","2111","175.32451936672328","144.28410726799103","206.9878023527864"
"220000","2212","2212","2212","178.62344140153255","146.7191021986978","210.56349377977978"
"230000","2313","2313","2313","176.58777762085342","147.99653167369658","209.83356745963025"
"240000","2414","2414","2414","178.95074074847403","148.42517640422278","214.03260471293208"
"250000","2515","2515","2515","175.5355071023572","143.49764665265107","209.86188961380282"
"260000","2616","2616","2616","177.97275548258048","147.58287057268166","209.19030282830235"
"270000","2717","2717","2717","178.36373933439677","142.50081971994862","213.70082235744488"
