"global_step","algo: CAPQL - _step","algo: CAPQL - _step__MIN","algo: CAPQL - _step__MAX","algo: CAPQL - eval/sparsity","algo: CAPQL - eval/sparsity__MIN","algo: CAPQL - eval/sparsity__MAX"
"50000","491","491","491","198.99354523762528","2.6448351103302103","545.2038946335026"
"100000","992","992","992","37.51800211030686","0.6684326650674013","56.881642770466385"
"150000","1493","1493","1493","58.7411182333644","0.8989968328907645","133.01676030674167"
"200000","1994","1994","1994","48.38792049931726","0.456640732215445","96.83513246236694"
"250000","2495","2495","2495","45.057668889650905","0.778748963444501","70.14642470322437"
"300000","2996","2996","2996","107.7899495220048","0.5180067242040903","225.24409867626252"
"350000","3497","3497","3497","58.10576961341385","0.2739053176779057","114.97240492019574"
"400000","3998","3998","3998","70.15256633557881","0.25112819922690005","109.45391753888953"
"450000","4499","4499","4499","78.2343746706706","0.4279775930730067","143.31970172364782"
"500000","5000","5000","5000","87.78914738891406","0.20877366164873679","173.45079552232528"
"550000","5501","5501","5501","85.25003206187908","0.35855853667875337","173.45321554011687"
"600000","6002","6002","6002","52.806718931202646","0.5975670961602535","82.29134586003104"
"650000","6503","6503","6503","52.23951976386396","0.3789174674845197","84.67128709475747"
"700000","7004","7004","7004","52.65032355492523","0.26927167339182034","91.72189748953663"
"750000","7505","7505","7505","63.0631120631461","0.24463813297979609","123.79754087401311"
"800000","8006","8006","8006","56.90991473595263","0.1799031443188878","87.77721850552805"
"850000","8507","8507","8507","53.37432125797881","0.30824513918513086","83.72264140860055"
"900000","9008","9008","9008","64.4572927178026","0.40346010244981606","122.4059960144394"
"950000","9509","9509","9509","55.0838720483026","0.33633221445175515","83.87425115556931"
"1000000","10010","10010","10010","45.09009130725453","0.2853923150414944","68.72746366409552"
"1050000","10511","10511","10511","60.03515960945642","0.1866182300059796","93.71838665209191"
"1100000","11012","11012","11012","74.31838837897482","0.8572747421031246","114.03702546842099"
"1150000","11513","11513","11513","65.58473990298098","0.4616705110286244","109.25887488243013"
"1200000","12014","12014","12014","56.28072923345912","1.0772013021801528","93.37708513898991"
"1250000","12515","12515","12515","171.15051980053647","3.5555648001079416","420.083881951349"
"1300000","13016","13016","13016","33.35309921258341","0","67.61106386346636"
"1350000","13517","13517","13517","112.72401263879114","4.221293636959538","240.8461080451279"
"1400000","14018","14018","14018","419.6087657783846","42.24487563765556","1144.256129389414"
"1450000","14519","14519","14519","318.5506448707178","20.85367892645201","839.9810813829911"
"1500000","15020","15020","15020","961.6346638919204","7.217606815041684","2799.131724739417"
"1550000","15521","15521","15521","147.02368369002613","5.801708699918097","341.45738939414184"
"1600000","16022","16022","16022","1218.3582813797555","41.52784170220177","3463.8492619407357"
"1650000","16523","16523","16523","1795.9393411268468","6.399457661808017","5305.301052982006"
"1700000","17024","17024","17024","2500.0062542748447","5.7549750835354105","7378.073986111853"
"1750000","17525","17525","17525","1526.8813715313418","33.287616478021896","4443.521936735805"
"1800000","18026","18026","18026","2319.145085626037","85.49503112971676","6773.615555833808"
"1850000","18527","18527","18527","9374.83853415618","41.25254690125353","27948.19458403266"
"1900000","19028","19028","19028","1387.6143686124844","16.12676285213134","4025.9127636035387"
"1950000","19529","19529","19529","636.9555450703159","41.93841249883014","1777.7912890882271"
"2000000","20030","20030","20030","427.7617647899876","74.10653280071936","1072.7246887351992"
"2050000","20531","20531","20531","666.8189447558358","51.27297488482453","1856.350058603192"
"2100000","21032","21032","21032","563.6806364261653","76.65789599278574","1534.4734051927544"
"2150000","21533","21533","21533","348.6736607681869","24.274072372298942","662.7312884003848"
"2200000","22034","22034","22034","311.91277313558345","41.67805311101828","492.06962489615125"
"2250000","22535","22535","22535","100.20743864606042","79.70544043672852","128.28344787104214"
"2300000","23036","23036","23036","95.86396503488523","60.948798857515044","141.23624882691712"
"2350000","23537","23537","23537","220.96488357563146","24.31455022435348","494.8683642731873"
"2400000","24038","24038","24038","724.1668457993813","81.93950391752651","1923.7348394897745"
"2450000","24539","24539","24539","1214.1159360252086","17.00636359410327","3466.1024279262087"
"2500000","25040","25040","25040","419.8351540700498","24.207908215468688","1050.1175515888385"
"2550000","25541","25541","25541","311.5450836608209","31.52587507194838","680.9657289941642"
"2600000","26042","26042","26042","254.89757231625472","26.74167540923341","411.9691379588656"
"2650000","26543","26543","26543","165.16355936777228","28.889398941748578","313.6721783319172"
"2700000","27044","27044","27044","170.83452131277647","34.350006314065794","301.80068915688094"
"2750000","27545","27545","27545","101.28709952966274","41.927083132939266","178.98410997322176"
"2800000","28046","28046","28046","250.15280525949478","33.27049623648829","476.1549654244996"
"2850000","28547","28547","28547","253.03228167731106","32.781764716007764","500.809564127313"
"2900000","29048","29048","29048","229.48643505017398","43.32910107169114","348.1762747486425"
"2950000","29549","29549","29549","320.75199946321135","33.53826470573416","822.44377583426"
"3000000","30050","30050","30050","365.84878186771977","33.97886502825843","723.2027473911038"
"3050000","30551","30551","30551","254.81120159079686","39.176380761600164","500.8549263149729"
"3100000","31052","31052","31052","226.9164003632237","33.9917884448828","329.18305942293694"
"3150000","31553","31553","31553","294.2558927808616","36.256569129926305","523.0929187756856"
"3200000","32054","32054","32054","461.4399477233869","49.661122448167106","1029.957620695533"
"3250000","32555","32555","32555","178.20340930363895","36.97020868335439","395.45253895882115"
"3300000","33056","33056","33056","237.93373625433944","28.624646692157196","545.6064955486687"
"3350000","33557","33557","33557","132.45048802274343","23.792521707421074","296.53186725131627"
"3400000","34058","34058","34058","102.3486298414449","36.87236744273956","168.34027056216087"
"3450000","34559","34559","34559","133.00171794268968","72.98404565605257","251.78651460993157"
"3500000","35060","35060","35060","558.2343714527141","27.703134945542917","1102.7388261970432"
"3550000","35561","35561","35561","221.87542904031966","50.814826141267446","520.0176567648036"
"3600000","36062","36062","36062","426.1277533684443","42.181691848543316","844.3977991153099"
"3650000","36563","36563","36563","789.6009593893674","33.28784728008239","1832.2313340789226"
"3700000","37064","37064","37064","668.0841970773951","50.39820767268771","1226.9791427520145"
