"global_step","algo: CAPQL - _step","algo: CAPQL - _step__MIN","algo: CAPQL - _step__MAX","algo: CAPQL - eval/sparsity","algo: CAPQL - eval/sparsity__MIN","algo: CAPQL - eval/sparsity__MAX"
"10000","91","91","91","346.89300310288223","20.03717580240352","938.2282476654626"
"20000","192","192","192","184.10330631407626","39.46460045300691","430.1115803515962"
"30000","293","293","293","214.2145013280734","128.42977568698464","312.7778793485799"
"40000","394","394","394","116.06540328964802","74.38179846653267","197.48100188724217"
"50000","495","495","495","88.76594102741421","36.23219956670899","123.0332387075843"
"60000","596","596","596","234.51215168654235","43.32655524297064","607.5460600189703"
"70000","697","697","697","519.4160951697568","57.90864596770151","798.0299330244094"
"80000","798","798","798","223.21814101231155","68.3367529317106","411.3148035039677"
"90000","899","899","899","185.1258985684842","131.10646695441335","262.3861938128002"
"100000","1000","1000","1000","341.51475831617785","25.985227732114982","928.677036708342"
"110000","1101","1101","1101","327.9285635352699","55.26457050116505","720.7546172793492"
"120000","1202","1202","1202","107.25104549728395","38.19095473355788","214.412411492982"
"130000","1303","1303","1303","180.83911471032357","21.69746640539018","384.9960003607958"
"140000","1404","1404","1404","91.80511193804038","10.38760925112811","205.48192734396753"
"150000","1505","1505","1505","82.81603101243739","34.61578767195568","135.54064036440315"
"160000","1606","1606","1606","82.72886783214672","31.196238583770565","113.937788548145"
"170000","1707","1707","1707","52.42818675420332","17.750562684057098","93.72866798816099"
"180000","1808","1808","1808","94.57691541319689","72.61153433608577","123.96346161078127"
"190000","1909","1909","1909","25.236504479755713","0","45.414237876067276"
"200000","2010","2010","2010","426.29824366467983","66.61188915597906","1120.1142529926929"
"210000","2111","2111","2111","362.6479831874292","16.636042564829488","663.082299417068"
"220000","2212","2212","2212","281.8926189723583","30.97456348032394","783.1737879513291"
"230000","2313","2313","2313","79.32640717698173","10.775407440801844","157.55775123462496"
"240000","2414","2414","2414","114.961791502712","63.23215001028255","186.95349428657818"
"250000","2515","2515","2515","141.47977984153263","66.07151430977602","190.13511107513676"
"260000","2616","2616","2616","91.62758921979294","44.73905820477067","180.24049527904666"
"270000","2717","2717","2717","71.80133870199319","33.561935292045014","144.2702497435493"
"280000","2818","2818","2818","246.2601505311575","13.979477570759432","707.8636739416598"
"290000","2919","2919","2919","80.97548721518883","54.57323482375374","110.90281791372446"
"300000","3020","3020","3020","64.25135857067548","49.42422702270924","72.89340496796575"
"310000","3121","3121","3121","104.96727891815267","73.53415271306808","125.45134775424393"
"320000","3222","3222","3222","404.4415145561932","44.412128085313064","1054.5060336852098"
"330000","3323","3323","3323","37.09038639545881","9.279589791781305","69.300475011123"
"340000","3424","3424","3424","39.89711364372627","25.949461320212475","47.71711328536935"
"350000","3525","3525","3525","72.01804079262432","40.52342706913379","99.32086236327297"
"360000","3626","3626","3626","77.5220229324487","13.620566202911741","123.71680179650438"
"370000","3727","3727","3727","89.64208793101277","3.751199002447045","230.0310105378961"
"380000","3828","3828","3828","77.26656726977858","16.165633608194597","148.09546018934714"
"390000","3929","3929","3929","17.683775570175875","1.7082937958414706","28.538204139002346"
"400000","4030","4030","4030","52.347385826397705","13.735811085548473","93.87710412678949"
"410000","4131","4131","4131","38.07960171227155","16.830339220222214","80.26891459986957"
"420000","4232","4232","4232","101.50506033400798","58.273849708650204","148.51733639787557"
"430000","4333","4333","4333","69.19500803444681","25.304130451244525","102.73218709356085"
"440000","4434","4434","4434","64.83431496681304","33.30107581921532","112.86018930394637"
"450000","4535","4535","4535","32.6403511627966","18.770904415103512","51.6870725807541"
"460000","4636","4636","4636","15.85668306647508","11.84625547122","18.224103799485572"
